POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104PA,DL10 4PA,DL10 4PA,54.413015,-1.730725,E37000039,,E10000023,E07000166,E05006292
DL104PB,DL10 4PB,DL10 4PB,54.411840,-1.727882,E37000039,,E10000023,E07000166,E05006292
DL104PD,DL10 4PD,DL10 4PD,54.412104,-1.729175,E37000039,,E10000023,E07000166,E05006292
DL104PE,DL10 4PE,DL10 4PE,54.412266,-1.729466,E37000039,,E10000023,E07000166,E05006292
DL104PF,DL10 4PF,DL10 4PF,54.411937,-1.731163,E37000039,,E10000023,E07000166,E05006292
DL104PG,DL10 4PG,DL10 4PG,54.412647,-1.731082,E37000039,,E10000023,E07000166,E05006292
DL104PH,DL10 4PH,DL10 4PH,54.409909,-1.728634,E37000039,,E10000023,E07000166,E05006292
DL104PJ,DL10 4PJ,DL10 4PJ,54.409346,-1.729199,E37000039,,E10000023,E07000166,E05006292
DL104PL,DL10 4PL,DL10 4PL,54.409101,-1.728292,E37000039,,E10000023,E07000166,E05006292
DL104PN,DL10 4PN,DL10 4PN,54.409102,-1.729441,E37000039,,E10000023,E07000166,E05006292
DL104PP,DL10 4PP,DL10 4PP,54.409526,-1.729869,E37000039,,E10000023,E07000166,E05006292
DL104PQ,DL10 4PQ,DL10 4PQ,54.411057,-1.727348,E37000039,,E10000023,E07000166,E05006292
DL104PR,DL10 4PR,DL10 4PR,54.409699,-1.730476,E37000039,,E10000023,E07000166,E05006292
DL104PS,DL10 4PS,DL10 4PS,54.410442,-1.729709,E37000039,,E10000023,E07000166,E05006292
DL104PT,DL10 4PT,DL10 4PT,54.409097,-1.735218,E37000039,,E10000023,E07000166,E05006292
DL104PU,DL10 4PU,DL10 4PU,54.407955,-1.734609,E37000039,,E10000023,E07000166,E05006292
DL104PW,DL10 4PW,DL10 4PW,54.410185,-1.727246,E37000039,,E10000023,E07000166,E05006292
DL104PX,DL10 4PX,DL10 4PX,54.403595,-1.738119,E37000039,,E10000023,E07000166,E05006294
DL104PZ,DL10 4PZ,DL10 4PZ,54.403353,-1.738567,E37000039,,E10000023,E07000166,E05006294
DL104QA,DL10 4QA,DL10 4QA,54.403552,-1.739151,E37000039,,E10000023,E07000166,E05006294
DL104QB,DL10 4QB,DL10 4QB,54.403749,-1.738873,E37000039,,E10000023,E07000166,E05006294
DL104QD,DL10 4QD,DL10 4QD,54.403784,-1.738426,E37000039,,E10000023,E07000166,E05006294
DL104QE,DL10 4QE,DL10 4QE,54.403532,-1.738412,E37000039,,E10000023,E07000166,E05006294
DL104QF,DL10 4QF,DL10 4QF,54.403353,-1.738506,E37000039,,E10000023,E07000166,E05006294
DL104QG,DL10 4QG,DL10 4QG,54.402815,-1.738716,E37000039,,E10000023,E07000166,E05006294
DL104QH,DL10 4QH,DL10 4QH,54.402868,-1.738771,E37000039,,E10000023,E07000166,E05006294
DL104QJ,DL10 4QJ,DL10 4QJ,54.402986,-1.739309,E37000039,,E10000023,E07000166,E05006294
DL104QL,DL10 4QL,DL10 4QL,54.402587,-1.737848,E37000039,,E10000023,E07000166,E05006294
DL104QN,DL10 4QN,DL10 4QN,54.403026,-1.737106,E37000039,,E10000023,E07000166,E05006294
DL104QP,DL10 4QP,DL10 4QP,54.402049,-1.738468,E37000039,,E10000023,E07000166,E05006294
DL104QQ,DL10 4QQ,DL10 4QQ,54.403227,-1.738630,E37000039,,E10000023,E07000166,E05006294
DL104QR,DL10 4QR,DL10 4QR,54.402192,-1.737866,E37000039,,E10000023,E07000166,E05006294
DL104QS,DL10 4QS,DL10 4QS,54.402303,-1.739144,E37000039,,E10000023,E07000166,E05006294
DL104QT,DL10 4QT,DL10 4QT,54.402064,-1.740886,E37000039,,E10000023,E07000166,E05006294
DL104QU,DL10 4QU,DL10 4QU,54.402258,-1.739452,E37000039,,E10000023,E07000166,E05006294
DL104QW,DL10 4QW,DL10 4QW,54.402136,-1.736788,E37000039,,E10000023,E07000166,E05006294
DL104QX,DL10 4QX,DL10 4QX,54.403158,-1.740124,E37000039,,E10000023,E07000166,E05006294
DL104QY,DL10 4QY,DL10 4QY,54.402664,-1.740128,E37000039,,E10000023,E07000166,E05006294
DL104QZ,DL10 4QZ,DL10 4QZ,54.402891,-1.740943,E37000039,,E10000023,E07000166,E05006294
DL104RA,DL10 4RA,DL10 4RA,54.402396,-1.740638,E37000039,,E10000023,E07000166,E05006294
DL104RB,DL10 4RB,DL10 4RB,54.402136,-1.740901,E37000039,,E10000023,E07000166,E05006294
DL104RD,DL10 4RD,DL10 4RD,54.401822,-1.741134,E37000039,,E10000023,E07000166,E05006294
DL104RE,DL10 4RE,DL10 4RE,54.403092,-1.742574,E37000039,,E10000023,E07000166,E05006294
DL104RF,DL10 4RF,DL10 4RF,54.402462,-1.742054,E37000039,,E10000023,E07000166,E05006294
DL104RG,DL10 4RG,DL10 4RG,54.400923,-1.741248,E37000039,,E10000023,E07000166,E05006294
DL104RH,DL10 4RH,DL10 4RH,54.399264,-1.738578,E37000039,,E10000023,E07000166,E05006282
DL104RJ,DL10 4RJ,DL10 4RJ,54.397743,-1.737131,E37000039,,E10000023,E07000166,E05006282
DL104RL,DL10 4RL,DL10 4RL,54.397972,-1.735413,E37000039,,E10000023,E07000166,E05006282
DL104RN,DL10 4RN,DL10 4RN,54.400982,-1.739399,E37000039,,E10000023,E07000166,E05006294
DL104RP,DL10 4RP,DL10 4RP,54.400913,-1.740099,E37000039,,E10000023,E07000166,E05006294
DL104RQ,DL10 4RQ,DL10 4RQ,54.400735,-1.741665,E37000039,,E10000023,E07000166,E05006294
DL104RR,DL10 4RR,DL10 4RR,54.401818,-1.739609,E37000039,,E10000023,E07000166,E05006294
DL104RS,DL10 4RS,DL10 4RS,54.402051,-1.739022,E37000039,,E10000023,E07000166,E05006294
DL104RT,DL10 4RT,DL10 4RT,54.402775,-1.737524,E37000039,,E10000023,E07000166,E05006294
DL104RU,DL10 4RU,DL10 4RU,54.402958,-1.738770,E37000039,,E10000023,E07000166,E05006294
DL104RW,DL10 4RW,DL10 4RW,54.401334,-1.740090,E37000039,,E10000023,E07000166,E05006294
DL104RX,DL10 4RX,DL10 4RX,54.403280,-1.738090,E37000039,,E10000023,E07000166,E05006294
DL104RY,DL10 4RY,DL10 4RY,54.403827,-1.737794,E37000039,,E10000023,E07000166,E05006294
DL104RZ,DL10 4RZ,DL10 4RZ,54.402740,-1.741822,E37000039,,E10000023,E07000166,E05006294
